序号,帧ID,时间标识,类型,报文描述,报文内容,长度,数据(Hex)
251,0x181056F4,54:22.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
252,0x1812F456,54:22.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
253,0x181056F4,54:22.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
254,0x1812F456,54:22.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
255,0x1CEC56F4,54:22.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0x56 ) SA(0xF4 ) PGN(0xEC00 ) Data Field(0x10 09 00 02 FF 00 11 00 ),8,10 09 00 02 FF 00 11 00 
256,0x1CECF456,54:22.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x11 02 01 FF FF 00 11 00 ),8,11 02 01 FF FF 00 11 00 
257,0x1CEB56F4,54:22.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x01 26 13 A0 0F 73 11 61 ),8,01 26 13 A0 0F 73 11 61 
258,0x1CEB56F4,54:22.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x02 00 00 FF FF FF FF FF ),8,02 00 00 FF FF FF FF FF 
259,0x1CECF456,54:22.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x13 09 00 02 FF 00 11 00 ),8,13 09 00 02 FF 00 11 00 
260,0x181056F4,54:22.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
261,0x1812F456,54:22.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
262,0x181056F4,54:22.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
263,0x1812F456,54:22.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
264,0x181356F4,54:22.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x13 ) DA(0x56 ) SA(0xF4 ) PGN(0x1300 ) Data Field(0x42 4B 01 4A 1B 00 D0 ),7,42 4B 01 4A 1B 00 D0 
265,0x181056F4,54:22.3,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
266,0x1812F456,54:22.3,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
267,0x181056F4,54:22.3,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
268,0x1812F456,54:22.3,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
269,0x181056F4,54:22.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
270,0x1812F456,54:22.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
271,0x1CEC56F4,54:22.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0x56 ) SA(0xF4 ) PGN(0xEC00 ) Data Field(0x10 09 00 02 FF 00 11 00 ),8,10 09 00 02 FF 00 11 00 
272,0x1CECF456,54:22.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x11 02 01 FF FF 00 11 00 ),8,11 02 01 FF FF 00 11 00 
273,0x1CEB56F4,54:22.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x01 26 13 A0 0F 73 11 61 ),8,01 26 13 A0 0F 73 11 61 
274,0x1CEB56F4,54:22.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x02 00 00 FF FF FF FF FF ),8,02 00 00 FF FF FF FF FF 
275,0x1CECF456,54:22.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x13 09 00 02 FF 00 11 00 ),8,13 09 00 02 FF 00 11 00 
276,0x181056F4,54:22.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
277,0x1812F456,54:22.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
278,0x181056F4,54:22.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
279,0x1812F456,54:22.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
280,0x181356F4,54:22.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x13 ) DA(0x56 ) SA(0xF4 ) PGN(0x1300 ) Data Field(0x42 4B 01 4A 1B 00 D0 ),7,42 4B 01 4A 1B 00 D0 
281,0x181056F4,54:22.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
282,0x1812F456,54:22.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
283,0x181056F4,54:22.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
284,0x1812F456,54:22.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
285,0x181056F4,54:22.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
286,0x1CEC56F4,54:22.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0x56 ) SA(0xF4 ) PGN(0xEC00 ) Data Field(0x10 09 00 02 FF 00 11 00 ),8,10 09 00 02 FF 00 11 00 
287,0x1CECF456,54:22.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x11 02 01 FF FF 00 11 00 ),8,11 02 01 FF FF 00 11 00 
288,0x1812F456,54:22.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
289,0x1CEB56F4,54:22.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x01 26 13 A0 0F 73 11 61 ),8,01 26 13 A0 0F 73 11 61 
290,0x1CEB56F4,54:22.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x02 00 00 FF FF FF FF FF ),8,02 00 00 FF FF FF FF FF 
291,0x1CECF456,54:22.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x13 09 00 02 FF 00 11 00 ),8,13 09 00 02 FF 00 11 00 
292,0x181056F4,54:22.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
293,0x1812F456,54:22.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
294,0x181056F4,54:22.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
295,0x181356F4,54:22.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x13 ) DA(0x56 ) SA(0xF4 ) PGN(0x1300 ) Data Field(0x42 4B 01 4A 1B 00 D0 ),7,42 4B 01 4A 1B 00 D0 
296,0x1812F456,54:22.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
297,0x181056F4,54:22.8,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
298,0x1812F456,54:22.8,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
299,0x181056F4,54:22.8,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
300,0x1812F456,54:22.8,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
301,0x181056F4,54:22.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
302,0x1CEC56F4,54:22.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0x56 ) SA(0xF4 ) PGN(0xEC00 ) Data Field(0x10 09 00 02 FF 00 11 00 ),8,10 09 00 02 FF 00 11 00 
303,0x1CECF456,54:22.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x11 02 01 FF FF 00 11 00 ),8,11 02 01 FF FF 00 11 00 
304,0x1CEB56F4,54:22.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x01 26 13 A0 0F 73 11 61 ),8,01 26 13 A0 0F 73 11 61 
305,0x1812F456,54:22.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
306,0x1CEB56F4,54:22.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x02 00 00 FF FF FF FF FF ),8,02 00 00 FF FF FF FF FF 
307,0x1CECF456,54:22.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x13 09 00 02 FF 00 11 00 ),8,13 09 00 02 FF 00 11 00 
308,0x181056F4,54:22.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
309,0x1812F456,54:22.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xA5 04 A0 0F 00 00 FD FF ),8,A5 04 A0 0F 00 00 FD FF 
310,0x181056F4,54:23.0,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
311,0x181356F4,54:23.0,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x13 ) DA(0x56 ) SA(0xF4 ) PGN(0x1300 ) Data Field(0x42 4B 01 4A 1B 00 D0 ),7,42 4B 01 4A 1B 00 D0 
312,0x1812F456,54:23.0,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xA5 04 A0 0F 00 00 FD FF ),8,A5 04 A0 0F 00 00 FD FF 
313,0x181056F4,54:23.0,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
314,0x1812F456,54:23.0,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xA5 04 A0 0F 00 00 FD FF ),8,A5 04 A0 0F 00 00 FD FF 
315,0x181056F4,54:23.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
316,0x1812F456,54:23.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xA5 04 A0 0F 00 00 FD FF ),8,A5 04 A0 0F 00 00 FD FF 
317,0x181056F4,54:23.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
318,0x1CEC56F4,54:23.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0x56 ) SA(0xF4 ) PGN(0xEC00 ) Data Field(0x10 09 00 02 FF 00 11 00 ),8,10 09 00 02 FF 00 11 00 
319,0x1CECF456,54:23.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x11 02 01 FF FF 00 11 00 ),8,11 02 01 FF FF 00 11 00 
320,0x1CEB56F4,54:23.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x01 26 13 A0 0F 73 11 61 ),8,01 26 13 A0 0F 73 11 61 
321,0x1812F456,54:23.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xA5 04 A0 0F 00 00 FD FF ),8,A5 04 A0 0F 00 00 FD FF 
322,0x1CEB56F4,54:23.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x02 00 00 FF FF FF FF FF ),8,02 00 00 FF FF FF FF FF 
323,0x1CECF456,54:23.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x13 09 00 02 FF 00 11 00 ),8,13 09 00 02 FF 00 11 00 
324,0x181056F4,54:23.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
325,0x1812F456,54:23.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xA5 04 A0 0F 00 00 FD FF ),8,A5 04 A0 0F 00 00 FD FF 
326,0x181056F4,54:23.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
327,0x181356F4,54:23.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x13 ) DA(0x56 ) SA(0xF4 ) PGN(0x1300 ) Data Field(0x42 4B 01 4A 1B 00 D0 ),7,42 4B 01 4A 1B 00 D0 
328,0x1812F456,54:23.3,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xA5 04 A0 0F 00 00 FD FF ),8,A5 04 A0 0F 00 00 FD FF 
329,0x181056F4,54:23.3,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
330,0x1812F456,54:23.3,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0xA5 04 A0 0F 00 00 FD FF ),8,A5 04 A0 0F 00 00 FD FF 
331,0x181056F4,54:23.3,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
332,0x1812F456,54:23.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x49 09 A0 0F 00 00 FD FF ),8,49 09 A0 0F 00 00 FD FF 
333,0x181056F4,54:23.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
334,0x1CEC56F4,54:23.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0x56 ) SA(0xF4 ) PGN(0xEC00 ) Data Field(0x10 09 00 02 FF 00 11 00 ),8,10 09 00 02 FF 00 11 00 
335,0x1CECF456,54:23.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x11 02 01 FF FF 00 11 00 ),8,11 02 01 FF FF 00 11 00 
336,0x1CEB56F4,54:23.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x01 26 13 A0 0F 73 11 61 ),8,01 26 13 A0 0F 73 11 61 
337,0x1812F456,54:23.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x49 09 A0 0F 00 00 FD FF ),8,49 09 A0 0F 00 00 FD FF 
338,0x1CEB56F4,54:23.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x02 00 00 FF FF FF FF FF ),8,02 00 00 FF FF FF FF FF 
339,0x1CECF456,54:23.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x13 09 00 02 FF 00 11 00 ),8,13 09 00 02 FF 00 11 00 
340,0x181056F4,54:23.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
341,0x1812F456,54:23.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x49 09 A0 0F 00 00 FD FF ),8,49 09 A0 0F 00 00 FD FF 
342,0x181056F4,54:23.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
343,0x181356F4,54:23.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x13 ) DA(0x56 ) SA(0xF4 ) PGN(0x1300 ) Data Field(0x42 4B 01 4A 1B 00 D0 ),7,42 4B 01 4A 1B 00 D0 
